C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,12:00:00,REGULAR,0000470559,0001776208                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,16:00:00,REGULAR,0000470630,0001776579                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,20:00:00,REGULAR,0000470738,0001776981                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,00:00:00,REGULAR,0000470803,0001777129                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,04:00:00,REGULAR,0000470807,0001777140                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,08:00:00,REGULAR,0000470821,0001777456                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,12:00:00,REGULAR,0000470889,0001778210                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,16:00:00,REGULAR,0000471010,0001778666                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,20:00:00,REGULAR,0000471333,0001779277                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,00:00:00,REGULAR,0000471421,0001779460                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,04:00:00,REGULAR,0000471425,0001779475                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,08:00:00,REGULAR,0000471445,0001779748                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,12:00:00,REGULAR,0000471509,0001780656                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,16:00:00,REGULAR,0000471644,0001781124                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,20:00:00,REGULAR,0000471999,0001781806                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,00:00:00,REGULAR,0000472100,0001782058                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,04:00:00,REGULAR,0000472111,0001782069                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,08:00:00,REGULAR,0000472128,0001782364                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,12:00:00,REGULAR,0000472202,0001783285                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,16:00:00,REGULAR,0000472333,0001783724                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,20:00:00,REGULAR,0000472643,0001784408                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,00:00:00,REGULAR,0000472764,0001784676                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,04:00:00,REGULAR,0000472766,0001784693                                     
